0	0	820055.5
0	1000000	144178.28
1000000	1000000	739155.0
0	2000000	78154.38
1000000	2000000	141218.88
2000000	2000000	711995.75
0	3000000	28470.932
1000000	3000000	28490.871
2000000	3000000	178543.45
3000000	3000000	735147.94
0	4000000	15808.627
1000000	4000000	20638.773
2000000	4000000	34574.734
3000000	4000000	147198.62
4000000	4000000	859733.1
0	5000000	23285.88
1000000	5000000	34196.652
2000000	5000000	34229.38
3000000	5000000	75474.74
4000000	5000000	147130.92
5000000	5000000	585414.94
0	6000000	21841.486
1000000	6000000	30506.314
2000000	6000000	26779.014
3000000	6000000	35817.145
4000000	6000000	38212.65
5000000	6000000	222945.94
6000000	6000000	625738.56
0	7000000	18807.3
1000000	7000000	32409.676
2000000	7000000	17755.453
3000000	7000000	18535.15
4000000	7000000	23477.373
5000000	7000000	61137.527
6000000	7000000	128828.67
7000000	7000000	657970.56
0	8000000	18197.543
1000000	8000000	18627.674
2000000	8000000	17248.31
3000000	8000000	19550.164
4000000	8000000	17067.969
5000000	8000000	39946.965
6000000	8000000	62823.95
7000000	8000000	187551.47
8000000	8000000	615096.9
0	9000000	14488.958
1000000	9000000	8154.7134
2000000	9000000	16066.777
3000000	9000000	17589.984
4000000	9000000	14383.355
5000000	9000000	17643.959
6000000	9000000	24822.574
7000000	9000000	34025.875
8000000	9000000	178072.72
9000000	9000000	766517.3
0	10000000	12266.2
1000000	10000000	9594.768
2000000	10000000	11559.761
3000000	10000000	12469.313
4000000	10000000	10787.553
5000000	10000000	15983.139
6000000	10000000	19513.158
7000000	10000000	26074.43
8000000	10000000	50700.508
9000000	10000000	144200.92
10000000	10000000	700430.6
0	11000000	12537.313
1000000	11000000	10629.157
2000000	11000000	11647.766
3000000	11000000	12794.537
4000000	11000000	10325.702
5000000	11000000	16284.025
6000000	11000000	19016.166
7000000	11000000	22999.557
8000000	11000000	36297.562
9000000	11000000	63484.72
10000000	11000000	261065.72
11000000	11000000	662022.9
0	12000000	14365.706
1000000	12000000	8589.033
2000000	12000000	13979.593
3000000	12000000	13336.265
4000000	12000000	8443.4795
5000000	12000000	12506.158
6000000	12000000	14021.822
7000000	12000000	14904.372
8000000	12000000	23790.322
9000000	12000000	38704.656
10000000	12000000	53622.1
11000000	12000000	146900.48
12000000	12000000	780092.8
0	13000000	16908.242
1000000	13000000	10760.401
2000000	13000000	14215.325
3000000	13000000	12218.966
4000000	13000000	9266.219
5000000	13000000	13717.945
6000000	13000000	15973.812
7000000	13000000	16876.6
8000000	13000000	22723.701
9000000	13000000	24572.553
10000000	13000000	24894.832
11000000	13000000	36536.074
12000000	13000000	153530.66
13000000	13000000	706552.8
0	14000000	14579.803
1000000	14000000	19888.941
2000000	14000000	10029.587
3000000	14000000	8027.767
4000000	14000000	10045.536
5000000	14000000	15154.617
6000000	14000000	17716.969
7000000	14000000	27415.7
8000000	14000000	18544.234
9000000	14000000	11181.946
10000000	14000000	13830.454
11000000	14000000	18433.91
12000000	14000000	27607.674
13000000	14000000	162977.84
14000000	14000000	663589.5
0	15000000	7304.331
1000000	15000000	14580.554
2000000	15000000	4755.7446
3000000	15000000	3502.0488
4000000	15000000	7814.0825
5000000	15000000	8233.0205
6000000	15000000	9669.785
7000000	15000000	19356.762
8000000	15000000	8429.114
9000000	15000000	4389.531
10000000	15000000	5678.636
11000000	15000000	7165.2783
12000000	15000000	8412.228
13000000	15000000	27764.871
14000000	15000000	209985.19
15000000	15000000	1006155.0
0	18000000	13188.687
1000000	18000000	10781.402
2000000	18000000	8213.863
3000000	18000000	6420.121
4000000	18000000	6656.66
5000000	18000000	9094.181
6000000	18000000	10533.603
7000000	18000000	12860.954
8000000	18000000	10451.535
9000000	18000000	7989.865
10000000	18000000	7917.9414
11000000	18000000	9024.893
12000000	18000000	11974.455
13000000	18000000	24979.238
14000000	18000000	45354.062
15000000	18000000	58548.83
18000000	18000000	737779.75
0	19000000	12125.138
1000000	19000000	9154.63
2000000	19000000	9874.378
3000000	19000000	8219.578
4000000	19000000	5950.0903
5000000	19000000	9855.789
6000000	19000000	10569.077
7000000	19000000	10650.567
8000000	19000000	11410.597
9000000	19000000	9934.775
10000000	19000000	9803.511
11000000	19000000	11453.963
12000000	19000000	15539.316
13000000	19000000	22061.398
14000000	19000000	17829.838
15000000	19000000	8139.5015
18000000	19000000	180440.11
19000000	19000000	634428.25
0	20000000	8696.389
1000000	20000000	6150.399
2000000	20000000	8412.324
3000000	20000000	8276.21
4000000	20000000	5981.0356
5000000	20000000	7108.1304
6000000	20000000	7888.1553
7000000	20000000	7340.951
8000000	20000000	8865.677
9000000	20000000	9534.118
